CODIGO_ID	Fecha	MarcaMora_Tarjeta	ORIGEN_APROBACION	FORMA_PAGO	SALDO_TOTAL_TARJETA	CUPO_PROMEDIO_TARJETA	SALDO_UTILIZ_PROM_CLIENTE	CANTIDAD_TOTAL_AVANCES	ANTIGUEDAD_TARJETA_ANIOS	PROMEDIO_MENSUAL_CONSUMOS_LOCALES	MAXIMO_NUM_DIAS_VENCIDO	NUMERO_OPERACIONES_TITULAR	PROMEDIO_DIAS_SOBREGIRO_CC	PROMEDIO_MENSUAL_SALDO_CUENTA_PASIVO	MARCA_CUENTA_CORRIENTE	MARCA_CUENTA_AHORROS	RIESGO_CLIENTE_TOTAL_GFP	VALOR_DEPOSITO_A_PLAZO	SEGMENTO_RIESGO	SUCURSAL	EDAD	GENERO	INSTRUCCION	NUM_TC_SIST_FIM
1	2018-01-29	0	Proactivo	No	1108.5	1400	1279.7483	0	10	242.26	21	5	0	0	No	No	1125.33	0	E	QUITO	27	FEM	PRI	1
2	2018-01-25	0	Demanda	No	601.56	3000	16.97	0	7	0	20	2	0	1627.4932	Si	Si	601.56	0	A	QUITO	37	MAS	UNI	0
3	2018-01-21	0	Demanda	No	25.26	800	36.225	0	7	0	31	3	0	4065.9979	Si	Si	25.26	0	A	QUITO	46	MAS	SEC	4
4	2018-01-17	0	Proactivo	No	12996.65	15600	17592.005	0	7	404.59	2	7	0	8400.3774	Si	Si	16228.69	0	B	AMBATO	40	MAS	UNI	2
5	2018-01-08	0	Proactivo	No	173.7	4800	574.2883	0	10	42.34	2	2	0	0	No	No	173.7	0	A	QUITO	29	MAS	UNI	2
6	2018-01-01	0	Proactivo	No	319.74	833.3333	827.9183	0	10	33.5	16	2	0	0	No	No	354.47	0	A	QUITO	39	FEM	UNI	3
7	2018-01-09	0	Proactivo	No	253.3	700	136.6983	0	7	156.5	7	2	0	223.4328	Si	Si	253.3	0	A	QUITO	44	MAS	SEC	1
8	2018-01-17	0	Proactivo	No	623.6	950	391.0416	0	7	87.59	0	2	0	144.6267	Si	Si	481.25	0	A	QUITO	34	FEM	UNI	0
9	2018-01-12	0	Proactivo	No	294.14	700	657.1033	0	7	133.74	19	6	0	0	No	No	294.14	0	D	GUAYAQUIL	35	FEM	PRI	4
10	2018-01-18	0	Proactivo	No	622.03	950	385.34	0	7	170.56	23	7	19	-964.7584	No	No	3128.69	0	A	QUITO	42	MAS	UNI	5
11	2018-01-30	0	Proactivo	No	1038.55	1300	1207.5083	0	7	82.66	18	9	0	0	No	No	988.94	0	A	MANTA	39	FEM	UNI	1
